,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
406,4,4,2,264.0,-17.702583,-63.189747,208000.0,Barrio Santa Isabel.,Distrito 5,264.0
408,3,3,2,333.0,-17.784254,-63.173954,220000.0,Barrio Lindo,Distrito 11,382.0
412,4,6,4,550.0,-17.752254,-63.218765,649000.0,Desconocido,Desconocido,550.0
414,3,3,3,295.0,-17.735916,-63.165295,285000.0,Barrio Santa Isabel.,Distrito 5,295.0
416,3,4,4,524.0,-17.743582,-63.220173,580000.0,Desconocido,Desconocido,524.0
421,3,3,4,210.0,-17.761951,-63.236351,259000.0,Desconocido,Desconocido,210.0
422,4,4,3,340.0,-17.762829,-63.233604,390000.0,Desconocido,Desconocido,625.0
428,4,5,2,300.0,-17.778751,-63.159996,215000.0,Barrio Chino,Distrito 2,330.0
429,2,1,3,299.0,-17.757328,-63.192688,408000.0,Barrio el Manchon,Distrito Municipal 1,299.0
434,4,6,2,378.0,-17.764771,-63.240856,340000.0,Desconocido,Desconocido,378.0
441,4,3,4,300.0,-17.744514,-63.160988,180000.0,Barrio Santa Isabel.,Distrito 5,300.0
443,4,3,1,435.0,-17.847918,-63.26041,117000.0,Desconocido,Desconocido,435.0
444,4,7,4,500.0,-17.758751,-63.236061,425000.0,Desconocido,Desconocido,500.0
448,4,6,4,542.0,-17.751181,-63.217541,630000.0,Desconocido,Desconocido,542.0
451,4,4,2,215.0,-17.779903,-63.213646,230000.0,Barrio Irma Suarez,Distrito Municipal 1,243.0
452,4,6,4,543.0,-17.751242,-63.218487,625000.0,Desconocido,Desconocido,543.0
454,5,5,2,253.0,-17.761255,-63.222233,140000.0,Desconocido,Desconocido,253.0
456,3,5,4,353.0,-17.769573,-63.225517,348000.0,Desconocido,Desconocido,353.0
457,6,6,6,528.0,-17.743067,-63.156731,490000.0,Barrio Santa Isabel.,Distrito 5,528.0
459,3,3,2,220.0,-17.747295,-63.182156,265000.0,Barrio el Manchon,Distrito Municipal 1,205.0
460,4,4,2,300.0,-17.812267,-63.232441,410000.0,Desconocido,Desconocido,540.0
461,3,4,3,275.0,-17.741043,-63.16864,209000.0,Barrio Santa Isabel.,Distrito 5,275.0
463,5,3,0,200.0,-17.74748,-63.192799,180000.0,Barrio el Manchon,Distrito Municipal 1,310.0
464,3,4,2,245.0,-17.818178,-63.220963,375000.0,Barrio el periodista,Distrito 10,860.0
465,3,2,2,220.0,-17.723932,-63.170242,225000.0,Barrio Santa Isabel.,Distrito 5,220.0
466,3,2,2,212.0,-17.684656,-63.163448,99900.0,Barrio Santa Isabel.,Distrito 5,212.0
470,4,3,2,316.0,-17.772036,-63.159882,179000.0,Barrio Chino,Distrito 2,221.0
471,4,2,2,257.0,-17.773285,-63.168423,190000.0,Barrio Lindo,Distrito 11,507.0
475,3,4,4,390.0,-17.74828,-63.216141,528000.0,Desconocido,Desconocido,390.0
478,5,7,2,353.0,-17.754511,-63.163982,315000.0,Barrio Chino,Distrito 2,353.0
480,3,4,2,251.0,-17.753075,-63.186893,160000.0,Barrio el Manchon,Distrito Municipal 1,251.0
483,3,3,2,224.0,-17.701748,-63.189625,205000.0,Barrio Santa Isabel.,Distrito 5,356.0
486,4,3,4,400.0,-17.740257,-63.153835,265000.0,Barrio Santa Isabel.,Distrito 5,400.0
487,5,5,2,239.0,-17.75423,-63.180176,235000.0,Barrio el Manchon,Distrito Municipal 1,411.0
490,4,4,3,370.0,-17.77556,-63.250042,345000.0,Desconocido,Desconocido,370.0
491,4,5,3,282.0,-17.755138,-63.196175,430000.0,Barrio el Manchon,Distrito Municipal 1,367.0
495,3,4,2,250.0,-17.8064,-63.211376,179000.0,BARRIO URBARI,Distrito Municipal 4Â ,210.0
498,4,4,2,271.0,-17.76281,-63.224033,252000.0,Desconocido,Desconocido,271.0
502,3,4,2,314.0,-17.762932,-63.236523,272000.0,Desconocido,Desconocido,314.0
503,5,5,1,389.0,-17.793493,-63.137051,150000.0,Barrio 5 de Noviembre,Distrito 7,450.0
