,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
747,3,2,0,140.0,-17.851835,-63.169977,83000.0,Barrio Palma Real,Distrito 12,360.0,592.8571428571429
749,4,2,0,100.0,-17.78687811,-63.19881996,80459.77,Barrio Santa Rosa,Distrito Municipal 1,187.5,804.5977
750,2,3,0,160.0,-17.809106,-63.105022,80459.77,Barrio 5 de Noviembre,Distrito 7,500.0,502.87356250000005
754,5,4,0,357.0,-17.731351,-63.081586,80000.0,Barrio San Jorge,Distrito 6,438.36,224.08963585434174
755,3,2,1,150.0,-17.776825,-63.122893,80000.0,Barrio las Pampita,Distrito 6,249.0,533.3333333333334
759,2,2,0,100.0,-17.698696,-63.169077,79000.0,Barrio Santa Isabel.,Distrito 5,176.0,790.0
760,2,2,2,120.8,-17.783092,-63.092041,79000.0,Barrio El Condado,Distrito 7,227.87,653.9735099337748
761,3,2,0,174.0,-17.809599,-63.104075,78000.0,Barrio 5 de Noviembre,Distrito 7,180.0,448.2758620689655
762,3,2,0,174.0,-17.809474,-63.104079,78000.0,Barrio 5 de Noviembre,Distrito 7,180.0,448.2758620689655
764,3,4,0,142.0,-17.737332,-63.104986,77000.0,Barrio La Purisima,Distrito 6,183.0,542.2535211267606
765,3,2,2,162.0,-17.759011,-63.089736,76738.51,Barrio San Jorge,Distrito 6,300.0,473.69450617283945
766,3,2,2,100.0,-17.862277,-63.183854,76000.0,Barrio Florida,Distrito 12,180.0,760.0
768,6,1,0,175.0,-17.749053,-63.1071,75000.0,Barrio La Purisima,Distrito 6,480.0,428.57142857142856
769,3,2,0,120.0,-17.710128,-63.129799,75000.0,Barrio Santa Isabel.,Distrito 5,211.68,625.0
774,3,2,2,100.0,-17.862795,-63.183807,74000.0,Barrio Florida,Distrito 12,180.0,740.0
775,3,2,0,140.0,-17.849328,-63.145423,74000.0,Barrio Ã‘uflo de Chavez,Distrito 12,360.0,528.5714285714286
778,3,2,0,140.0,-17.761463,-63.103109,72000.0,Barrio La Purisima,Distrito 6,216.0,514.2857142857143
779,4,4,3,120.0,-17.846378,-63.105164,71800.0,Barrio LAB,Distrito 8,360.0,598.3333333333334
782,3,2,0,120.0,-17.79123,-63.087401,70833.33,Barrio El Condado,Distrito 7,260.0,590.27775
785,5,2,2,100.0,-17.84478282,-63.09797473,70000.0,Barrio LAB,Distrito 8,367.92,700.0
792,3,2,0,120.0,-17.797861,-63.073838,69000.0,Barrio El Condado,Distrito 7,294.38,575.0
798,3,2,0,115.0,-17.858723,-63.149865,67385.06,Barrio 25 De Junio,Distrito 12,225.0,585.9570434782609
800,3,3,0,300.0,-17.78756258,-63.20071375,67169.54,Barrio Santa Rosa,Distrito Municipal 1,426.37,223.89846666666665
803,5,2,3,360.0,-17.831721,-63.137009,65000.0,Barrio San Francisco,Distrito 8,540.0,180.55555555555554
804,3,2,2,110.0,-17.765041,-63.104767,65000.0,Barrio La Purisima,Distrito 6,166.0,590.9090909090909
805,3,2,0,100.0,-17.753284770684,-63.083260059357,65000.0,Barrio San Jorge,Distrito 6,206.6,650.0
806,5,6,0,620.0,-17.796052,-63.094847,64655.17,Barrio El Condado,Distrito 7,232.0,104.2825322580645
807,3,3,3,120.0,-17.816661,-63.150334,65000.0,Barrio SoberanÃ­a Nacional,Distrito Municipal 3,344.0,541.6666666666666
808,4,2,3,331.28,-17.861913,-63.144163,64367.82,Barrio Ã‘uflo de Chavez,Distrito 12,383.89,194.30035015696694
809,4,1,3,173.0,-17.841544,-63.104272,63000.0,Barrio LAB,Distrito 8,360.0,364.16184971098266
810,4,2,3,255.38,-17.75999688,-63.09793346,64655.17,Barrio La Purisima,Distrito 6,360.85,253.17240974234474
